program,title,link,upvotes,bounty
Unikrn,Rate Limit workaround in the message of the phone number verification,hackerone.com/reports/619578,5,100.0
Nextcloud,Some HTML Tags are Getting Executed in com.nextcloud.client,hackerone.com/reports/631227,9,50.0
Nextcloud,"Able to bypass ""Device credentials"" Lock",hackerone.com/reports/507172,10,100.0
Nextcloud,Combination of content provider allows private data disclosure,hackerone.com/reports/534541,12,100.0
Nextcloud,Bypassing lock protection,hackerone.com/reports/490946,9,50.0
Nextcloud,SQL Injection found in NextCloud Android App Content Provider,hackerone.com/reports/291764,24,150.0
Nextcloud,Extremly simple way to bypass Nextcloud-Client PIN/Fingerprint lock,hackerone.com/reports/331489,51,100.0
Mail.ru,Content spoofing в http://my.mail.ru/cgi-bin/app/paymentm,hackerone.com/reports/83565,8,0.0
Mail.ru,XSS in messages on geekbrains.ru,hackerone.com/reports/623834,19,0.0
Node.js third-party modules,[http-file-server] Stored XSS in the filename when directories listing,hackerone.com/reports/570563,9,0.0
Node.js third-party modules,[min-http-server] Stored XSS in the filename when directories listing,hackerone.com/reports/570568,3,0.0
VLC (European Commission - DIGIT),Access Violation Reading in libfaad_plugin,hackerone.com/reports/502816,105,1120.81
VLC (European Commission - DIGIT),Access Violation Reading EXPLOITABLE_0228,hackerone.com/reports/503208,77,1135.32
Mail.ru,[authdl.mail.ru] Spoofing IP address,hackerone.com/reports/549130,9,250.0
ok.ru,Privilege Escalation удаляем все созданные ссылки с okl.lt,hackerone.com/reports/478621,41,500.0
Mail.ru,Открытый .htaccess на cookery.zakazaka.ru,hackerone.com/reports/596368,2,0.0
ok.ru,[okl.lt] Раскрытие администраторских функций в .js + Возможность использования этих функций.,hackerone.com/reports/547145,12,500.0
ok.ru,[okmedia.insideok.ru] Web Cache Poisoing &amp; XSS,hackerone.com/reports/550266,13,300.0
HackerOne,Private information exposed through GraphQL filters,hackerone.com/reports/645299,69,0.0
Starbucks,"Blind SQLi leading to RCE, from Unauthenticated access to a test API Webservice",hackerone.com/reports/592400,199,4000.0
WordPress,Stored XSS Vulnerability,hackerone.com/reports/643908,333,500.0
HackerOne,Race Condition in Flag Submission,hackerone.com/reports/454949,59,500.0
WordPress,WordPress Automatic Update Protocol Does Not Authenticate Updates Provided by the Server,hackerone.com/reports/228854,2,0.0
Nextcloud,Arbitrary SQL command injection,hackerone.com/reports/508487,67,500.0
Smule,Web cache poisoning leads to disclosure of CSRF token and sensitive information,hackerone.com/reports/504514,31,0.0
GitLab,Milestones leaked via search API,hackerone.com/reports/460815,38,1000.0
Mail.ru,Cross-site Scripting (XSS) - Stored in ru.mail.mailapp,hackerone.com/reports/544782,13,150.0
GitLab,Persistent XSS in Note objects,hackerone.com/reports/508184,131,4500.0
ExpressionEngine,Open Redirect in comment section,hackerone.com/reports/603196,7,0.0
Imgur,"BUG XSS IN ""ADD IMAGES""",hackerone.com/reports/583710,13,0.0
Maximum,Developper's websites are easily accessibles leading to massive information disclosure,hackerone.com/reports/643882,18,300.0
Chainlink,No Valid SPF Records.,hackerone.com/reports/629087,15,500.0
Semmle,Server side includes in https://lgtm-com.pentesting.semmle.net/internal_api/v0.2/savePublicInformation leads to 500 server error and,hackerone.com/reports/413655,2,0.0
Mail.ru,"LRF on shared.mail.ru due to ""markdown"" plugin",hackerone.com/reports/518641,39,6000.0
Mail.ru,Open Selenoid instance at 188.93.63.186 leads to LFR/SSRF.,hackerone.com/reports/512973,88,6000.0
Uber,Lack of proper paymentProfileUUID validation allows any number of free rides without any outstanding balance,hackerone.com/reports/574638,65,1500.0
Chainlink,Testnet address being sent in cleartext as http://rinkeby.chain.link/ is missing SSL certificate,hackerone.com/reports/576288,16,250.0
Vanilla,Stored XSS in Rich editor via Embed datetime,hackerone.com/reports/530458,13,300.0
Vanilla,Stored XSS in Profile Comments,hackerone.com/reports/530464,5,300.0
Vanilla,Stored XSS in embedded posts containing images,hackerone.com/reports/530853,4,150.0
Vanilla,Hidden Stored XSS in nested post embeds,hackerone.com/reports/530881,7,150.0
GitLab,"Local files could be overwritten in GitLab, leading to remote command execution",hackerone.com/reports/587854,506,12000.0
Maximum,Wrong link on corne.maximum.nl,hackerone.com/reports/643446,17,0.0
Ian Dunn,xmlrpc.php FILE IS enable on Main website,hackerone.com/reports/371550,4,0.0
Grammarly,`socket` command allows sending data over WebSockets to arbitrary origins from Grammarly Extension,hackerone.com/reports/395729,128,1500.0
Shopify,any staff members have the ability to comment in [discounts] he/she can disable comment section it to other staff even the admin of the store,hackerone.com/reports/629150,27,0.0
Vanilla,Unsanitized user photo paths allow local file read,hackerone.com/reports/484615,30,300.0
Vanilla,Stored XSS in vanilla,hackerone.com/reports/496405,87,300.0
Maximum,Sql-inj in https://maximum.com/ajax/people,hackerone.com/reports/94584,27,40.0
Informatica,[https://life.informatica.com] - information disclose,hackerone.com/reports/312292,4,0.0
Smule,Missing Rate Limit in Password Change,hackerone.com/reports/440495,17,0.0
VK.com,Бесконечный доступ к аккаунту если мы смогли хотя бы раз зайти на аккаунт.,hackerone.com/reports/596363,10,500.0
VK.com,Просмотр любых статей по их айди.,hackerone.com/reports/589400,8,200.0
HackerOne,View HackerOne challenge scope before challenge begins,hackerone.com/reports/565736,44,500.0
Tube8,"Blind SQL injection and making any profile comments from any users to disappear using ""like"" function (2 in 1 issues)",hackerone.com/reports/363815,192,2500.0
Rocket.Chat,Slack Token exposed over internet (Github),hackerone.com/reports/386614,14,0.0
Dropbox,"Fedora installation instructions fetch repo and validation key from insecure source, allowing mitm attack",hackerone.com/reports/638250,10,216.0
VHX,Possibility to overwrite any file in the vpe.cdn.vimeo.tv leads to the Stored XSS for the all customers on the embed.vhx.tv,hackerone.com/reports/452559,64,1500.0
Maximum,Information disclosure through directory listing at http://dockerhost01.maximum.nl:8080,hackerone.com/reports/150905,34,300.0
Maximum,Ability To Takeover any account by Emaill.,hackerone.com/reports/240821,140,500.0
Unikrn,multiple vulnerabilities on your mautic server,hackerone.com/reports/592885,7,100.0
Node.js third-party modules,[http-file-server] List any files and sub folders in the folder by using path traversal.,hackerone.com/reports/570133,7,0.0
Twitter,Twitter Periscope Clickjacking Vulnerability,hackerone.com/reports/591432,117,1120.0
Monero,Locked_Transfer functional burning,hackerone.com/reports/417515,5,0.0
Weblate,HTML injection and information disclosure in support panel,hackerone.com/reports/634312,19,0.0
Weblate,Stored XSS via Create Project (Add new translation project),hackerone.com/reports/610219,10,0.0
New Relic,Users can enable API access for free via mass assignment,hackerone.com/reports/267781,25,0.0
Mail.ru,XSS при загрузке изображения на [games.mail.ru],hackerone.com/reports/614441,8,0.0
Mail.ru,CSRF на отправку вопроса на [games.mail.ru],hackerone.com/reports/594045,9,0.0
Mail.ru,self XSS на странице https://aw.mail.ru/pin/,hackerone.com/reports/582810,4,0.0
Mail.ru,"Path traversal, SSTI and RCE on a MailRu acquisition",hackerone.com/reports/536130,148,2000.0
QIWI,Обход комиссии на переводы,hackerone.com/reports/604560,52,1050.0
Mail.ru,Stored XSS in email,hackerone.com/reports/387272,75,1000.0
Upserve,OLO Total price manipulation using negative quantities,hackerone.com/reports/364843,134,3500.0
Mail.ru,Possible to Upload Local Arbitrary Private File to the Cloud,hackerone.com/reports/384472,8,150.0
Mail.ru,Path Traversal When Sharing with Cloud Mail.Ru App via a file with Crated Name,hackerone.com/reports/380096,12,150.0
Mail.ru,Launch Any Activity in MyMail App,hackerone.com/reports/376618,12,500.0
ICQ,XSS web.icq.com double linkify,hackerone.com/reports/348108,20,250.0
ICQ,"Чтение системных данных приложения: данные для авторизации, логи, БД, личная переписка",hackerone.com/reports/373909,8,150.0
ICQ,ICQ Windows Application is Vulnerable to DLL Search Order Hijacking,hackerone.com/reports/486502,3,100.0
ICQ,FLV FILE FORMAT (AUDIOSES.DLL) Out of Bounds,hackerone.com/reports/515322,2,500.0
Automattic,Gaining unlimited bonus points on websites with WooCommerce Points and Rewards,hackerone.com/reports/592803,15,150.0
Monero,Excessive Resource Usage,hackerone.com/reports/543782,9,0.0
Shopify,[Privilege Escalation] Shopify Admin -- Permission from Settings to Customer,hackerone.com/reports/541606,21,500.0
HackerOne,Custom Field Attributes may be created and updated for customers with Custom Field Trial enabled,hackerone.com/reports/634679,43,0.0
OX App Suite,SSRF in VCARD photo upload functionality,hackerone.com/reports/296045,48,850.0
OX App Suite,SSRF in /appsuite/api/autoconfig,hackerone.com/reports/293847,19,850.0
OX App Suite,"SSRF - RSS feed, blacklist bypass (301 re-direct)",hackerone.com/reports/299135,33,850.0
OX App Suite,SSRF - Blacklist bypass for mail account addition,hackerone.com/reports/303378,42,500.0
VK.com,"Обходим 2FA и/или получаем access_token, если мы когда-либо были на аккаунте жертвы",hackerone.com/reports/316078,8,300.0
OX App Suite,Stored XSS in Email attachment file name,hackerone.com/reports/388506,7,500.0
Shopify,HTML injection in https://interviewing.shopify.com/index.php?candidate=,hackerone.com/reports/601192,13,0.0
OX App Suite,"SSRF - RSS feed, blacklist bypass (IP Formatting)",hackerone.com/reports/299130,31,850.0
OX App Suite,IDOR - setAttribute action of user object in API,hackerone.com/reports/285432,10,400.0
OX App Suite,IDOR to view other user folder name,hackerone.com/reports/333767,9,250.0
OX App Suite,IDOR allow to extract all registered email,hackerone.com/reports/302485,10,300.0
OX App Suite,Adding external participants to unaccessible appointments,hackerone.com/reports/294232,6,300.0
OX App Suite,[IDOR] Deleting other people's tasks,hackerone.com/reports/293845,7,300.0
OX App Suite,store xss in calendar via upload filename,hackerone.com/reports/385407,12,250.0
Node.js third-party modules,[domokeeper] Unintended Require,hackerone.com/reports/538938,6,0.0
ZEIT,Access control bypass leads to domain information disclosure,hackerone.com/reports/630192,8,0.0
GitLab,Attacker is able to access commit title and team member comments which are supposed to be private,hackerone.com/reports/502593,329,7000.0
Twitter,cookie injection allow dos attack to periscope.tv,hackerone.com/reports/583819,23,560.0
Trint Ltd,IDOR to update folder name of other user,hackerone.com/reports/587687,16,0.0
Zomato,Self-Stored XSS - Chained with login/logout CSRF,hackerone.com/reports/632017,24,300.0
Monero,CryptoNote: remote node DoS,hackerone.com/reports/506595,29,0.0
Monero,Zero-amount miner TX + RingCT allows monero wallet to receive arbitrary amount of monero,hackerone.com/reports/501585,6,0.0
Monero,(remote) exabyte allocation via load_from_binary() (DoS),hackerone.com/reports/506498,2,0.0
Monero,Remote P2P DoS,hackerone.com/reports/592200,5,0.0
Monero,Remote Daemon RPC Attack,hackerone.com/reports/592094,3,0.0
Monero,Computing hash of crafted block leads to crash in tree_hash(),hackerone.com/reports/519120,6,0.0
Monero,Monero can leak unitialized memory,hackerone.com/reports/481164,5,0.0
New Relic,Blind SSRF in Ticketing Integrations Jira webhooks leading to internal network enumeration and blind HTTP requests,hackerone.com/reports/344032,13,0.0
ZEIT,Open redirection in https://zeit.co/login?next=,hackerone.com/reports/618214,8,0.0
Weblate,Stored XSS @ /engage/&lt;project_slug&gt;,hackerone.com/reports/472391,6,0.0
U.S. Dept Of Defense,RCE on █████ via CVE-2017-10271,hackerone.com/reports/576887,62,0.0
ownCloud,Remote Code Execution through Deserialization Attack in OwnBackup app.,hackerone.com/reports/562335,15,0.0
Nextcloud,Click Jacking Nextcloud,hackerone.com/reports/347782,7,0.0
Nextcloud,Wordpress Users Disclosure,hackerone.com/reports/625199,7,0.0
Node.js third-party modules,[takeapeek] XSS via HTML tag injection in directory lisiting page,hackerone.com/reports/490728,21,0.0
curl,Windows Privilege Escalation: Malicious OpenSSL Engine,hackerone.com/reports/608577,21,200.0
ICQ,Stored xss on message reply,hackerone.com/reports/546220,38,500.0
ICQ,"[web.icq.com] Stored XSS in ""О Контакте""",hackerone.com/reports/547683,25,500.0
Slack,Invitation reminder emails contain insecure links,hackerone.com/reports/327674,11,350.0
HackerOne,Disclosing a private program in an external link if program is paused,hackerone.com/reports/418474,39,500.0
Omise,SSRF in webhooks leads to AWS private keys disclosure,hackerone.com/reports/508459,176,700.0
Shopify,Stored XSS in Discounts section,hackerone.com/reports/618031,70,1000.0
Nextcloud,Expired reshare links allow access to all files in share,hackerone.com/reports/452854,36,400.0
TomTom,Apache mod_status /server-status Information Disclosure,hackerone.com/reports/541347,7,0.0
Nextcloud,Stored XSS/HTML injection in autocomplete suggestions for sharing,hackerone.com/reports/478957,6,100.0
Nextcloud,Uploading large avatar images cause excessive CPU usage,hackerone.com/reports/504759,7,50.0
Nextcloud,Private/confidential setting of calendar events is ignored on activity stream,hackerone.com/reports/476615,5,0.0
Homebrew,Homebrew privilege escalation vulnerability,hackerone.com/reports/593926,10,0.0
HackerOne,Team member with Program permission only can escalate to Admin permission,hackerone.com/reports/605720,251,2500.0
OLX,SQL Injection https://www.olx.co.id,hackerone.com/reports/446293,46,0.0
Nextcloud,Predictable Random Number Generator,hackerone.com/reports/504731,10,0.0
Nextcloud,Retrieval and alteration of exposed media on Android Oreo,hackerone.com/reports/462441,3,0.0
Cuvva,Unclaimed facebook,hackerone.com/reports/601367,11,0.0
Upserve,DOM Based XSS via postMessage at https://inventory.upserve.com/login/,hackerone.com/reports/603764,155,2500.0
Mail.ru,[e.mail.ru] XSS в поиске,hackerone.com/reports/378582,42,750.0
SEMrush,Remote Code Execution on www.semrush.com/my_reports on Logo upload,hackerone.com/reports/403417,695,10000.0
Node.js third-party modules,[serve-here.js] List any file in the folder by using path traversal.,hackerone.com/reports/569966,7,0.0
Tube8,SSRF and local file disclosure by video upload on https://www.tube8.com/,hackerone.com/reports/574133,50,500.0
YouPorn,SSRF and local file disclosure by video upload on http://www.youporn.com/,hackerone.com/reports/574134,30,500.0
Twitter,Verify any unused email address,hackerone.com/reports/574962,182,560.0
Khan Academy,Sensitive information/action is stored/done is done using a GET request,hackerone.com/reports/163820,18,0.0
Automattic,Broken Authentication - Security token gets captured via man in the middle attack,hackerone.com/reports/206650,47,200.0
Automattic,Captcha bypass for the most important function - At en.instagram-brand.com,hackerone.com/reports/206653,37,150.0
Automattic,Cross Domain leakage of sensitive information - Leading to Account Takeover at Instagram Brand,hackerone.com/reports/209352,12,100.0
Automattic,Authentication Bypass - Chaining two vulnerabilities leads to account takeover at en.instagram-brand.com,hackerone.com/reports/209008,18,175.0
Trint Ltd,IDOR in changing shared file name,hackerone.com/reports/547663,19,0.0
Slack,Information leakage and default open port,hackerone.com/reports/305518,39,350.0
Rocket.Chat,Broken access control on apps,hackerone.com/reports/491892,8,0.0
Infogram,Stored XSS in infogram.com via language,hackerone.com/reports/430029,20,0.0
Khan Academy,Cross-Site Request Forgery (CSRF) vulnerability on API endpoint allows account takeovers,hackerone.com/reports/419891,96,0.0
ecobee,Open API - AWS S3 GET Bucket (List Objects) Version 1,hackerone.com/reports/609233,12,0.0
Shopify,DOM XSS via Shopify.API.Modal.initialize,hackerone.com/reports/602767,31,500.0
Redtube,SSRF and local file disclosure by video upload on https://www.redtube.com/upload,hackerone.com/reports/570537,56,500.0
SEMrush,XSS Reflected on my_report,hackerone.com/reports/491023,20,200.0
Nextcloud,Vulnerable W3 Total Cache plugin version in use on nextcloud.com,hackerone.com/reports/579116,5,0.0
Starbucks,Blind SQL Injection on starbucks.com.gt and WAF Bypass,hackerone.com/reports/549355,191,500.0
ZEIT,Open redirect vuln on login,hackerone.com/reports/608031,43,0.0
Shopify,STAFF member with NO Explicit permissions can view `ActivityFeed` via GraphQL,hackerone.com/reports/528940,17,500.0
Node.js third-party modules,[untitled-model] sql injection,hackerone.com/reports/507222,14,0.0
VK.com,CVE-2018-0296,hackerone.com/reports/377542,77,1000.0
New Relic,Giving myself access to NR1 UI / one.newrelic.com without the proper feature flags on my account,hackerone.com/reports/520623,12,500.0
ICQ,ICQ 10.0.12371 icq: Uri Handler '-testability' URL File Insecure Library Loading Code Execution Vulnerability,hackerone.com/reports/406702,21,500.0
ok.ru,Plain text password for 'unknown' user exist in URL when opening jira.apiok.ru,hackerone.com/reports/602596,2,0.0
Shipt,"Multiple Subdomain Takeovers: fly.staging.shipt.com, fly.us-west-2.staging.shipt.com, fly.us-east-1.staging.shipt.com",hackerone.com/reports/576857,121,900.0
ecobee,CSTI on https://www.ecobee.com leads to XSS,hackerone.com/reports/500518,37,0.0
Midpoint (European Commission - DIGIT),Attacker can read password from log data,hackerone.com/reports/519367,35,168.68
Shopify,XSS on services.shopify.com,hackerone.com/reports/591786,35,500.0
Shopify,"H1514 Removed Staff members who had ""Apps"" permission can still modify flow app connections",hackerone.com/reports/416983,35,2000.0
Twitter,IDOR and statistics leakage in Orders,hackerone.com/reports/544329,94,289.0
GitLab,information disclosure of secret_key_base via encoding charcters,hackerone.com/reports/460545,137,3500.0
TomTom,CSRF allows attacker to manage customer's shopping cart.,hackerone.com/reports/540382,1,0.0
TomTom,Reflected Cross Site Scripting vuln in tomtom.com,hackerone.com/reports/540428,4,0.0
TomTom,XSS Reflect,hackerone.com/reports/583561,7,0.0
TomTom,Reflected XSS on,hackerone.com/reports/557389,2,0.0
Pornhub,xss,hackerone.com/reports/306554,78,100.0
Starbucks,PHPinfo page,hackerone.com/reports/367050,37,0.0
Unikrn,Email abuse and Referral Abuse,hackerone.com/reports/277407,2,0.0
Unikrn,"[unikrn.com] Profile updated with error"":true,""success"":false""",hackerone.com/reports/300301,4,0.0
VLC (European Commission - DIGIT),Buffer overflow in libavi_plugin memmove() call,hackerone.com/reports/484398,25,1126.91
Shopify,Unpublished Product Images can be disclosed,hackerone.com/reports/534554,13,500.0
Mail.ru,Stealing Arbitrary Private Files of MyMail App,hackerone.com/reports/365280,9,500.0
VK.com,Получение БД кэша из Android-приложения через стороннее приложение,hackerone.com/reports/377582,31,500.0
PortSwigger Web Security,Build fetches jars over HTTP,hackerone.com/reports/506161,126,1000.0
Upserve,Ability to create own account UUID leads to stored XSS,hackerone.com/reports/249131,182,1500.0
Passit,password rest link not expired after change the password,hackerone.com/reports/576510,19,0.0
Central Security Project,Pippo XML Entity Expansion (Billion Laughs Attack),hackerone.com/reports/506791,1,0.0
ICQ,Error in processing gif images,hackerone.com/reports/312121,52,250.0
HackerOne,Password not checked when disabling 2FA on HackerOne,hackerone.com/reports/587910,77,500.0
Vanilla,Bypassing the Trusted Link Alert System,hackerone.com/reports/384569,7,150.0
Upserve,Open redirect on https://hq-api.upserve.com/,hackerone.com/reports/497664,37,1000.0
Ubiquiti Inc.,CORS Misconfiguration leading to Private Information Disclosure,hackerone.com/reports/430249,44,500.0
Upserve,Open redirect at https://inventory.upserve.com/http://google.com/,hackerone.com/reports/469803,151,1200.0
Shopify,H1514 Bypass Wholesale account signup restrictions,hackerone.com/reports/423496,43,2000.0
Mail.ru,XSS на странице account.mail.ru/recovery,hackerone.com/reports/381762,14,500.0
Upserve,Insufficient validation of sides/modifiers quantity,hackerone.com/reports/361960,5,500.0
Upserve,Ability to reset password for account,hackerone.com/reports/322985,576,3500.0
Mail.ru,molotok.m.mail.ru delegated to external entity,hackerone.com/reports/376808,48,1500.0
ICQ,Stored XSS in api.icq.net,hackerone.com/reports/363042,23,150.0
ICQ,Найден build.sh в webagent.mail.ru,hackerone.com/reports/418294,10,100.0
ICQ,Bypass security fixes by downgrading version of application,hackerone.com/reports/419075,16,250.0
ICQ,SSRF на api.icq.net,hackerone.com/reports/432277,9,500.0
Notepad++,No SearchEngine sanatizing can lead to command injection,hackerone.com/reports/495382,94,1137.83
Notepad++,Insufficient sanitizing can lead to arbitrary commands execution,hackerone.com/reports/494979,46,1363.7
Shopify,DOM XSS via Shopify.API.remoteRedirect,hackerone.com/reports/576532,14,500.0
Infogram,Privilege escalation allows to use iframe functionality w/o upgrade,hackerone.com/reports/594080,28,0.0
OLX,Public Vulnerable Version of Confluence https://confluence.olx.com,hackerone.com/reports/207013,28,0.0
Mail.ru,Cross site scripting vulnerability in JW Player SWF,hackerone.com/reports/496883,14,0.0
Mail.ru,ОДМИН ТЭСТ,hackerone.com/reports/452016,17,150.0
Mail.ru,Открытая панель,hackerone.com/reports/454770,3,0.0
Mail.ru,astrumnival.com subdomain,hackerone.com/reports/471941,6,0.0
Mail.ru,PHP-FPM Status Page,hackerone.com/reports/497010,5,0.0
Mail.ru,Rails application running in development mode,hackerone.com/reports/518196,4,0.0
Mail.ru,PHP-FPM Status Page,hackerone.com/reports/454719,6,0.0
Mail.ru,Phpinfo,hackerone.com/reports/521582,3,0.0
Mail.ru,phpinfo,hackerone.com/reports/521779,1,0.0
Mail.ru,Source code disclosure,hackerone.com/reports/521960,38,500.0
Mail.ru,SSRF,hackerone.com/reports/522203,43,500.0
Mail.ru,сервант статус,hackerone.com/reports/452010,1,0.0
Mail.ru,sql,hackerone.com/reports/453297,5,300.0
Grammarly,Grammarly Keyboard for Android &lt;4.1,hackerone.com/reports/462416,77,300.0
Mail.ru,source code leak,hackerone.com/reports/451077,20,150.0
Mail.ru,xss,hackerone.com/reports/450571,4,0.0
Cuvva,Clickjacking in ops.cuvva.com,hackerone.com/reports/583624,2,0.0
Mail.ru,Множественные уязвимости приложения Mail.Ru Почта (Android),hackerone.com/reports/128675,2,0.0
Mail.ru,Cross-Site Request Forgery,hackerone.com/reports/215383,1,0.0
Mail.ru,XSS,hackerone.com/reports/496841,12,0.0
Mail.ru,******.*****.my.com open proxy,hackerone.com/reports/424003,18,300.0
Mail.ru,Apache server-info enabled,hackerone.com/reports/424882,22,0.0
Mail.ru,XXE крит,hackerone.com/reports/449627,7,300.0
Mail.ru,Server side request forgery,hackerone.com/reports/427227,9,300.0
curl,Heap Buffer Overflow at lib/tftp.c,hackerone.com/reports/550696,11,200.0
HackerOne,Account recovery text message is sending a wrong domain to users.,hackerone.com/reports/549364,105,500.0
ZEIT,Gitlab Oauth Misconfiguration Lead To Account Takeover,hackerone.com/reports/541701,32,0.0
Automattic,Insufficient DKIM record with RSA 512-bit key used on WordPress.com,hackerone.com/reports/550937,26,250.0
Nextcloud,Remote Code Execution via Extract App Plugin,hackerone.com/reports/546753,113,0.0
Tor,Detect Tor Browser's language,hackerone.com/reports/588239,8,0.0
Smule,Open Redirect on smule.com,hackerone.com/reports/440484,17,0.0
Unikrn,Full Path Disclosure,hackerone.com/reports/591002,5,0.0
Urban Dictionary,Domain does not Match SSL Certificate,hackerone.com/reports/504507,10,0.0
Twitter,Subdomain takeover on dev-admin.periscope.tv,hackerone.com/reports/531890,54,0.0
Shopify,Reflected XSS,hackerone.com/reports/569241,40,0.0
Shopify,Stored - XSS,hackerone.com/reports/532643,22,0.0
Automattic,Wordpress VIP leaks email of the test a/c,hackerone.com/reports/540301,48,100.0
Shopify,Cross Site Scripting at https://app.oberlo.com/,hackerone.com/reports/542258,13,0.0
TomTom,Exposed Git Repo at http://betaforum.tomtom.com/.git/{subfolders},hackerone.com/reports/541349,36,0.0
Tron Foundation,"Private key ""tron"" leaked via Travis CI Log",hackerone.com/reports/472651,81,1000.0
Automattic,WooCommerce: Persistent XSS via customer address (state/county),hackerone.com/reports/530499,38,350.0
curl,Github wikis are editable by anyone #Githubwikistakeover,hackerone.com/reports/545052,5,0.0
Twitter,HTTPS is not validating TLS mac codes,hackerone.com/reports/402671,10,0.0
Khan Academy,https://mathfacts.khanacademy.org/ includes code from unprivileged localhost port,hackerone.com/reports/331752,9,0.0
Alliance of American Football,Stored xss in address field in billing activity at https://shop.aaf.com/Order/step1/index.cfm,hackerone.com/reports/411690,233,1500.0
Homebrew,Homebrew installed LaunchDaemons create simple root esclations,hackerone.com/reports/586251,8,0.0
Vanilla,Stored XSS in vanilla,hackerone.com/reports/481360,89,300.0
Valve,ISteamAssets gives partners control over unrelated community market transactions,hackerone.com/reports/577584,103,5000.0
Shopify,H1514 [*.(my)shopify.com] - Viewing Password Protected Content,hackerone.com/reports/421859,176,3000.0
Starbucks,Reflected XSS in https://www.starbucks.co.jp/store/search/,hackerone.com/reports/496375,69,250.0
Starbucks,Subdomain takeover of mydailydev.starbucks.com,hackerone.com/reports/570651,107,2000.0
Grammarly,Employee's GitHub Token Found In Travis CI Build Logs,hackerone.com/reports/496937,382,5000.0
Revive Adserver,Authentication Bypass by abusing Insecure crypto tokens in /lib/OA/Dal/PasswordRecovery.php:,hackerone.com/reports/576504,22,0.0
Tor,Detecting Tor Browser UI Language,hackerone.com/reports/282748,62,200.0
ok.ru,Cisco ASA Denial of Service &amp; Path Traversal (CVE-2018-0296),hackerone.com/reports/378698,9,100.0
HackerOne,Race condition in claiming program credentials,hackerone.com/reports/488985,41,500.0
HackerOne,API Last Request Date/Time Not Updating,hackerone.com/reports/220774,38,0.0
ZEIT,CSRF On Connect Account With Github Lead To Account Takeover,hackerone.com/reports/542047,25,0.0
HackerOne,Banned researcher gets email updates on a private program.,hackerone.com/reports/271506,134,500.0
RATELIMITED,Unrestricted File Upload on https://auth.ratelimited.me,hackerone.com/reports/463604,21,0.0
Zendesk,Blind XSS via Suspended Ticket Recovery,hackerone.com/reports/450389,44,1000.0
Twitter,Protected Tweets setting overridden by Android app,hackerone.com/reports/519059,16,560.0
Mail.ru,benchmark metrics available at 5.61.239.154,hackerone.com/reports/449613,6,0.0
Khan Academy,Take over of accounts created using Google or Facebook,hackerone.com/reports/442901,150,0.0
Khan Academy,Account takeover by changing email,hackerone.com/reports/538800,71,0.0
Twitter,Twitter ID exposure via error-based side-channel attack,hackerone.com/reports/505424,138,1470.0
ZEIT,[Fix Bypass #541631] Open redirect on Signup,hackerone.com/reports/541948,9,0.0
ZEIT,Reflected DOM-Based XSS On Due Lack Filter On Parameter ?next,hackerone.com/reports/545121,3,0.0
ZEIT,Stored XSS in profile page,hackerone.com/reports/541853,6,0.0
ZEIT,Stored Cross-site scripting,hackerone.com/reports/541710,13,0.0
Chaturbate,The auto login link does not expire on changing email id,hackerone.com/reports/472026,39,250.0
Mail.ru,URL redirection,hackerone.com/reports/522403,19,0.0
Mail.ru,СКР инжект,hackerone.com/reports/520871,22,500.0
Mail.ru,XSS,hackerone.com/reports/460353,4,0.0
Mail.ru,Reference to external uncontrolled resource in terrhq.ru,hackerone.com/reports/430254,7,0.0
Django,Jenkins Unauthenticated RCE on https://djangoci.com/,hackerone.com/reports/579760,15,0.0
WordPress,CSRF to HTML Injection in Comments,hackerone.com/reports/428019,88,950.0
GitLab,DoS on the Issue page by exploiting Mermaid.,hackerone.com/reports/470067,133,3000.0
Dropbox,"Forum posts and private messages are poorly sanitized, allowing execution of arbitrary JavaScript",hackerone.com/reports/316738,10,729.0
Smule,Missing Rate Limit in Forgot Password can Lead to email address leakage of all smule accounts,hackerone.com/reports/441161,25,0.0
Mail.ru,CSRF on /subscription_manage.php endpoint at allods.mail.ru,hackerone.com/reports/517470,7,0.0
Mail.ru,Seven DOM-Based XSS Vulnerabilities | Execution in Login Sequence,hackerone.com/reports/508228,7,0.0
Shopify,help.shopify.com Cross Site Scripting,hackerone.com/reports/564196,65,500.0
Nextcloud,Stored XSS in OAuth redirect URI,hackerone.com/reports/261138,10,0.0
WePay,Active mixed content issues on the site https://stage-go.wepay.com.,hackerone.com/reports/503699,19,100.0
MariaDB,smtp service vulnerable to POODLE SSLv3,hackerone.com/reports/514421,7,0.0
Shopify,Order Creation Webhooks can be edited/deleted by STAFF with `Settings` only permission,hackerone.com/reports/431633,15,500.0
VK.com,Просмотр инфы на странице пользователя или группы который тебя добавил в ЧС,hackerone.com/reports/505347,4,200.0
VK.com,Вставляем свой код в мобильном приложении в разделе помощи сообществам,hackerone.com/reports/433904,43,300.0
VK.com,"Узнаем несколько цифр номера телефона юзера (можно флудить смс), всего раз узнав его remixsid и его ид юзера, и установка оффлайна юзерам.",hackerone.com/reports/390126,10,300.0
VK.com,[0.vk.com] Reflected XSS на странице подтверждения.,hackerone.com/reports/502819,4,200.0
Monero,Potential use-after-free due to struct array_entry_t lacking an explicit copy constructor,hackerone.com/reports/511317,9,0.0
Passit,URL is vulnerable to clickjacking,hackerone.com/reports/530008,27,0.0
